"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NC_0011749.1","NC_007941.1","NC_013175.1","NC_013655.1","NC_017630.1","NZ_CP007150.1","NZ_CP010882.1","NZ_CP012634.1","NZ_CP014493.1","NZ_CP014496.1","NZ_CP014498.1","NZ_CP014523.1","NZ_CP014668.1","NZ_CP015131.1","NZ_CP015160.1","NZ_CP018952.1"
"insO-1_2","","CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element","15","15","1","1","481","1","120","","479","479","479","PPNGLMBF_00034","AFBCLFAJ_00020","LBLEHJFL_00020","EBLMJKPD_00081","CIDCPHMN_00122","CFLCBKEF_00021","EMANLNOE_00129","BOFEBHGI_00002","DHNEMLFG_00137","EFDDGJBK_00002","LBMCKPDB_00124","IHJENLPO_00125","CFKICFFG_00021","IFAGOEOF_00104","LJFFEAFL_00033",""
"group_511","","hypothetical protein","15","15","1","1","315","1","381","","992","992","992","PPNGLMBF_00092","AFBCLFAJ_00115","LBLEHJFL_00116","EBLMJKPD_00028","","CFLCBKEF_00121","EMANLNOE_00058","BOFEBHGI_00059","DHNEMLFG_00040","EFDDGJBK_00062","LBMCKPDB_00028","IHJENLPO_00029","CFKICFFG_00102","IFAGOEOF_00014","LJFFEAFL_00110","MOLELEAL_00108"
"group_527","","hypothetical protein","15","15","1","1","297","1","380","","632","632","632","PPNGLMBF_00093","AFBCLFAJ_00114","LBLEHJFL_00115","EBLMJKPD_00027","CIDCPHMN_00025","CFLCBKEF_00120","EMANLNOE_00057","BOFEBHGI_00060","","EFDDGJBK_00063","LBMCKPDB_00029","IHJENLPO_00030","CFKICFFG_00101","IFAGOEOF_00015","LJFFEAFL_00201","MOLELEAL_00107"
"group_529","","IS3 family transposase IS629","15","15","1","1","451","1","148","","326","326","326","PPNGLMBF_00019","AFBCLFAJ_00033","LBLEHJFL_00033","EBLMJKPD_00095","CIDCPHMN_00109","CFLCBKEF_00035","EMANLNOE_00113","BOFEBHGI_00015","DHNEMLFG_00123","EFDDGJBK_00015","LBMCKPDB_00111","IHJENLPO_00112","","IFAGOEOF_00091","LJFFEAFL_00018","MOLELEAL_00008"
"group_56","","hypothetical protein","15","15","1","1","180","1","345","","755","857","831","PPNGLMBF_00066","AFBCLFAJ_00003","LBLEHJFL_00003","EBLMJKPD_00064","CIDCPHMN_00139","CFLCBKEF_00003","EMANLNOE_00089","BOFEBHGI_00034","DHNEMLFG_00178","EFDDGJBK_00034","LBMCKPDB_00255","","CFKICFFG_00003","IFAGOEOF_00165","LJFFEAFL_00084","MOLELEAL_00136"
"group_62","","hypothetical protein","15","15","1","1","515","13","1","","230","422","406","PPNGLMBF_00131","AFBCLFAJ_00079","LBLEHJFL_00079","EBLMJKPD_00142","CIDCPHMN_00060","CFLCBKEF_00083","EMANLNOE_00025","BOFEBHGI_00098","","EFDDGJBK_00100","LBMCKPDB_00063","IHJENLPO_00067","CFKICFFG_00065","IFAGOEOF_00047","LJFFEAFL_00237","MOLELEAL_00075"
"traC","","Protein TraC","15","15","1","1","294","6","4","","1481","2630","2552","PPNGLMBF_00095","AFBCLFAJ_00112","LBLEHJFL_00113","EBLMJKPD_00025","CIDCPHMN_00027","CFLCBKEF_00118","EMANLNOE_00055","BOFEBHGI_00062","DHNEMLFG_00043","EFDDGJBK_00065","LBMCKPDB_00031","IHJENLPO_00032","CFKICFFG_00099","IFAGOEOF_00017","","MOLELEAL_00105"
"group_141","","hypothetical protein","14","14","1","1","37","1","302","","380","518","501","PPNGLMBF_00140","AFBCLFAJ_00067","LBLEHJFL_00067","EBLMJKPD_00129","CIDCPHMN_00072","CFLCBKEF_00071","","BOFEBHGI_00110","DHNEMLFG_00088","EFDDGJBK_00112","","IHJENLPO_00079","CFKICFFG_00053","IFAGOEOF_00056","LJFFEAFL_00247","MOLELEAL_00040"
"traD","","Coupling protein TraD","14","14","1","1","340","1","221","","197","2297","2038","PPNGLMBF_00075","AFBCLFAJ_00133","LBLEHJFL_00133","EBLMJKPD_00045","","CFLCBKEF_00138","EMANLNOE_00073","BOFEBHGI_00042","DHNEMLFG_00018","EFDDGJBK_00043","LBMCKPDB_00010","IHJENLPO_00010","CFKICFFG_00121","","LJFFEAFL_00093","MOLELEAL_00126"
"group_193","","hypothetical protein","14","14","1","1","529","1","255","","563","563","563","PPNGLMBF_00125","AFBCLFAJ_00084","LBLEHJFL_00084","EBLMJKPD_00148","CIDCPHMN_00055","CFLCBKEF_00089","EMANLNOE_00030","BOFEBHGI_00091","","","LBMCKPDB_00059","IHJENLPO_00061","CFKICFFG_00070","IFAGOEOF_00042","LJFFEAFL_00232","MOLELEAL_00079"
"group_25","","IS66 family transposase ISEc8","14","17","1.22","1","466","","","","257","1010","684","PPNGLMBF_00011","AFBCLFAJ_00043","LBLEHJFL_00042	LBLEHJFL_00041","","CIDCPHMN_00098","CFLCBKEF_00045","EMANLNOE_00105","BOFEBHGI_00135	BOFEBHGI_00136","DHNEMLFG_00115","","LBMCKPDB_00104","IHJENLPO_00104	IHJENLPO_00105","CFKICFFG_00029","IFAGOEOF_00083","LJFFEAFL_00011","MOLELEAL_00030"
"hokB","","small toxic membrane polypeptide","14","14","1","1","273","4","1","","158","158","158","PPNGLMBF_00117","AFBCLFAJ_00092","LBLEHJFL_00091","EBLMJKPD_00004","CIDCPHMN_00047","CFLCBKEF_00097","","BOFEBHGI_00083","DHNEMLFG_00066","EFDDGJBK_00086","LBMCKPDB_00049","IHJENLPO_00053","CFKICFFG_00078","IFAGOEOF_00036","LJFFEAFL_00224",""
"group_301","","ISL3 family transposase ISEc53","14","14","1","1","507","1","303","","1220","1220","1220","PPNGLMBF_00139","AFBCLFAJ_00068","LBLEHJFL_00068","EBLMJKPD_00130","CIDCPHMN_00071","CFLCBKEF_00072","","BOFEBHGI_00109","DHNEMLFG_00087","EFDDGJBK_00111","","IHJENLPO_00078","CFKICFFG_00054","IFAGOEOF_00055","LJFFEAFL_00246","MOLELEAL_00039"
"tpd","","34 kDa membrane antigen","14","17","1.22","1","63","","","","527","1940","660","PPNGLMBF_00045","AFBCLFAJ_00009","LBLEHJFL_00009","EBLMJKPD_00070","","CFLCBKEF_00009","EMANLNOE_00140	EMANLNOE_00141","BOFEBHGI_00028","DHNEMLFG_00149	DHNEMLFG_00151	DHNEMLFG_00150","EFDDGJBK_00028","LBMCKPDB_00134","IHJENLPO_00136","CFKICFFG_00010","IFAGOEOF_00115","LJFFEAFL_00043",""
"group_124","","hypothetical protein","13","13","1","1","223","3","6","","392","659","412","PPNGLMBF_00081","AFBCLFAJ_00126","LBLEHJFL_00127","EBLMJKPD_00039","CIDCPHMN_00013","CFLCBKEF_00132","","BOFEBHGI_00048","DHNEMLFG_00029","EFDDGJBK_00050","","IHJENLPO_00017","CFKICFFG_00114","IFAGOEOF_00003","LJFFEAFL_00099",""
"yhcR","","Endonuclease YhcR","13","13","1","1","344","1","339","","461","503","464","PPNGLMBF_00070","AFBCLFAJ_00138","LBLEHJFL_00138","EBLMJKPD_00055","CIDCPHMN_00002","CFLCBKEF_00143","","BOFEBHGI_00037","DHNEMLFG_00005","EFDDGJBK_00038","","IHJENLPO_00004","CFKICFFG_00126","IFAGOEOF_00169","LJFFEAFL_00088",""
"ycjY","","putative hydrolase","13","13","1","1","206","19","1","","764","860","852","PPNGLMBF_00072","AFBCLFAJ_00136","LBLEHJFL_00136","EBLMJKPD_00052","CIDCPHMN_00004","CFLCBKEF_00141","","BOFEBHGI_00039","DHNEMLFG_00008","EFDDGJBK_00040","","IHJENLPO_00006","CFKICFFG_00124","IFAGOEOF_00172","LJFFEAFL_00090",""
"group_180","","hypothetical protein","13","13","1","1","318","2","2","","257","257","257","PPNGLMBF_00088","AFBCLFAJ_00119","LBLEHJFL_00120","EBLMJKPD_00032","CIDCPHMN_00019","CFLCBKEF_00125","","BOFEBHGI_00055","DHNEMLFG_00036","EFDDGJBK_00057","","IHJENLPO_00024","CFKICFFG_00107","IFAGOEOF_00010","LJFFEAFL_00106",""
"ssb","","ssDNA-binding protein","13","13","1","1","523","1","251","","527","581","531","PPNGLMBF_00122","AFBCLFAJ_00087","LBLEHJFL_00086","EBLMJKPD_00151","CIDCPHMN_00052","CFLCBKEF_00092","","BOFEBHGI_00088","DHNEMLFG_00071","EFDDGJBK_00091","","IHJENLPO_00058","CFKICFFG_00073","IFAGOEOF_00041","LJFFEAFL_00229",""
"group_195","","hypothetical protein","13","13","1","1","520","9","2","","257","422","269","PPNGLMBF_00128","AFBCLFAJ_00081","LBLEHJFL_00081","EBLMJKPD_00145","","CFLCBKEF_00086","EMANLNOE_00027","BOFEBHGI_00094","DHNEMLFG_00076","EFDDGJBK_00097","","IHJENLPO_00064","CFKICFFG_00067","IFAGOEOF_00045","LJFFEAFL_00235",""
"group_197","","hypothetical protein","13","13","1","1","8","1","294","","770","971","785","PPNGLMBF_00133","AFBCLFAJ_00076","LBLEHJFL_00076","EBLMJKPD_00139","CIDCPHMN_00063","CFLCBKEF_00081","","BOFEBHGI_00101","DHNEMLFG_00082","EFDDGJBK_00103","","IHJENLPO_00070","CFKICFFG_00062","IFAGOEOF_00050","LJFFEAFL_00240",""
"group_247","","hypothetical protein","13","13","1","1","457","1","300","","113","113","113","PPNGLMBF_00004","","LBLEHJFL_00049","EBLMJKPD_00111","","CFLCBKEF_00053","EMANLNOE_00098","BOFEBHGI_00128","DHNEMLFG_00108","EFDDGJBK_00130","LBMCKPDB_00097","IHJENLPO_00097","","IFAGOEOF_00076","LJFFEAFL_00004","MOLELEAL_00037"
"group_271","","hypothetical protein","13","13","1","1","138","1","343","","260","260","260","PPNGLMBF_00067","AFBCLFAJ_00002","LBLEHJFL_00002","EBLMJKPD_00063","CIDCPHMN_00140","CFLCBKEF_00002","","BOFEBHGI_00035","DHNEMLFG_00002","EFDDGJBK_00035","","IHJENLPO_00001","CFKICFFG_00002","IFAGOEOF_00166","LJFFEAFL_00085",""
"group_273","","hypothetical protein","13","13","1","1","225","2","12","","335","335","335","PPNGLMBF_00085","AFBCLFAJ_00122","LBLEHJFL_00123","EBLMJKPD_00035","CIDCPHMN_00016","CFLCBKEF_00128","","BOFEBHGI_00052","DHNEMLFG_00033","EFDDGJBK_00054","","IHJENLPO_00021","CFKICFFG_00110","IFAGOEOF_00007","LJFFEAFL_00103",""
"group_275","","hypothetical protein","13","13","1","1","224","2","11","","341","341","341","PPNGLMBF_00086","AFBCLFAJ_00121","LBLEHJFL_00122","EBLMJKPD_00034","CIDCPHMN_00017","CFLCBKEF_00127","","BOFEBHGI_00053","DHNEMLFG_00034","EFDDGJBK_00055","","IHJENLPO_00022","CFKICFFG_00109","IFAGOEOF_00008","LJFFEAFL_00104",""
"group_277","","hypothetical protein","13","13","1","1","320","2","4","","638","638","638","PPNGLMBF_00090","AFBCLFAJ_00117","LBLEHJFL_00118","EBLMJKPD_00030","CIDCPHMN_00021","CFLCBKEF_00123","","BOFEBHGI_00057","DHNEMLFG_00038","EFDDGJBK_00060","","IHJENLPO_00027","CFKICFFG_00104","IFAGOEOF_00012","LJFFEAFL_00108",""
"group_282","","hypothetical protein","13","13","1","1","236","6","2","","473","473","473","PPNGLMBF_00097","AFBCLFAJ_00110","LBLEHJFL_00111","EBLMJKPD_00023","CIDCPHMN_00029","CFLCBKEF_00116","","BOFEBHGI_00064","DHNEMLFG_00046","EFDDGJBK_00067","","IHJENLPO_00034","CFKICFFG_00097","IFAGOEOF_00019","LJFFEAFL_00205",""
"traV","","Protein TraV","13","13","1","1","242","5","2","","515","515","515","PPNGLMBF_00099","AFBCLFAJ_00108","LBLEHJFL_00109","EBLMJKPD_00021","CIDCPHMN_00031","CFLCBKEF_00114","","BOFEBHGI_00066","DHNEMLFG_00048","EFDDGJBK_00069","","IHJENLPO_00036","CFKICFFG_00095","IFAGOEOF_00021","LJFFEAFL_00207",""
"group_285","","hypothetical protein","13","13","1","1","241","5","3","","320","320","320","PPNGLMBF_00101","AFBCLFAJ_00106","LBLEHJFL_00107","EBLMJKPD_00019","CIDCPHMN_00032","CFLCBKEF_00112","","BOFEBHGI_00068","DHNEMLFG_00050","EFDDGJBK_00071","","IHJENLPO_00038","CFKICFFG_00093","IFAGOEOF_00023","LJFFEAFL_00209",""
"group_286","","hypothetical protein","13","13","1","1","243","5","4","","590","590","590","PPNGLMBF_00102","AFBCLFAJ_00105","LBLEHJFL_00106","EBLMJKPD_00018","CIDCPHMN_00033","CFLCBKEF_00111","","BOFEBHGI_00069","DHNEMLFG_00051","EFDDGJBK_00072","","IHJENLPO_00039","CFKICFFG_00092","IFAGOEOF_00024","LJFFEAFL_00210",""
"traA","","Pilin","13","13","1","1","247","11","2","","359","359","359","PPNGLMBF_00107","AFBCLFAJ_00100","LBLEHJFL_00100","EBLMJKPD_00013","CIDCPHMN_00038","CFLCBKEF_00106","","BOFEBHGI_00074","DHNEMLFG_00058","EFDDGJBK_00077","","IHJENLPO_00044","CFKICFFG_00087","IFAGOEOF_00029","LJFFEAFL_00215",""
"traJ","","Protein TraJ","13","13","1","1","277","8","2","","686","686","686","PPNGLMBF_00110","AFBCLFAJ_00098","LBLEHJFL_00098","EBLMJKPD_00011","CIDCPHMN_00040","CFLCBKEF_00104","","BOFEBHGI_00076","DHNEMLFG_00060","EFDDGJBK_00079","","IHJENLPO_00046","CFKICFFG_00085","IFAGOEOF_00031","LJFFEAFL_00217",""
"traM","","Relaxosome protein TraM","13","13","1","1","278","8","1","","383","383","383","PPNGLMBF_00111","AFBCLFAJ_00097","LBLEHJFL_00097","EBLMJKPD_00010","CIDCPHMN_00041","CFLCBKEF_00103","","BOFEBHGI_00077","DHNEMLFG_00061","EFDDGJBK_00080","","IHJENLPO_00047","CFKICFFG_00084","IFAGOEOF_00032","LJFFEAFL_00218",""
"group_302","","hypothetical protein","13","13","1","1","36","1","308","","248","248","248","PPNGLMBF_00141","AFBCLFAJ_00066","LBLEHJFL_00066","EBLMJKPD_00128","CIDCPHMN_00073","CFLCBKEF_00070","","BOFEBHGI_00111","DHNEMLFG_00089","EFDDGJBK_00113","","IHJENLPO_00080","CFKICFFG_00052","IFAGOEOF_00057","LJFFEAFL_00248",""
"umuD","","SOS mutagenesis; error-prone repair; processed to UmuD'; forms complex with UmuC","13","13","1","1","35","1","309","","437","437","437","PPNGLMBF_00142","AFBCLFAJ_00065","LBLEHJFL_00065","EBLMJKPD_00127","CIDCPHMN_00074","CFLCBKEF_00069","","BOFEBHGI_00112","DHNEMLFG_00090","EFDDGJBK_00114","","IHJENLPO_00081","CFKICFFG_00051","IFAGOEOF_00058","LJFFEAFL_00249",""
"group_304","","hypothetical protein","13","13","1","1","28","1","311","","1172","1172","1172","PPNGLMBF_00144","AFBCLFAJ_00071","LBLEHJFL_00071","EBLMJKPD_00133","CIDCPHMN_00068","CFLCBKEF_00075","","BOFEBHGI_00106","DHNEMLFG_00092","EFDDGJBK_00108","","IHJENLPO_00075","CFKICFFG_00057","IFAGOEOF_00060","LJFFEAFL_00251",""
"group_305","","IS21 family transposase IS21","13","13","1","1","34","1","306","","797","797","797","PPNGLMBF_00145","AFBCLFAJ_00070","LBLEHJFL_00070","EBLMJKPD_00132","CIDCPHMN_00069","CFLCBKEF_00074","","BOFEBHGI_00107","DHNEMLFG_00093","EFDDGJBK_00109","","IHJENLPO_00076","CFKICFFG_00056","IFAGOEOF_00061","LJFFEAFL_00252",""
"group_306","","hypothetical protein","13","13","1","1","32","1","277","","392","392","392","PPNGLMBF_00147","AFBCLFAJ_00062","LBLEHJFL_00062","EBLMJKPD_00124","CIDCPHMN_00077","CFLCBKEF_00066","","BOFEBHGI_00115","DHNEMLFG_00095","EFDDGJBK_00117","","IHJENLPO_00084","CFKICFFG_00048","IFAGOEOF_00063","LJFFEAFL_00254",""
"parM","","Plasmid segregation protein ParM","13","13","1","1","31","1","276","","971","971","971","PPNGLMBF_00148","AFBCLFAJ_00061","LBLEHJFL_00061","EBLMJKPD_00123","CIDCPHMN_00078","CFLCBKEF_00065","","BOFEBHGI_00116","DHNEMLFG_00096","EFDDGJBK_00118","","IHJENLPO_00085","CFKICFFG_00047","IFAGOEOF_00064","LJFFEAFL_00255",""
"srp54","","Signal recognition particle 54 kDa protein","13","13","1","1","427","1","281","","644","644","644","PPNGLMBF_00149","AFBCLFAJ_00060","LBLEHJFL_00060","EBLMJKPD_00122","CIDCPHMN_00079","CFLCBKEF_00064","","BOFEBHGI_00117","DHNEMLFG_00097","EFDDGJBK_00119","","IHJENLPO_00086","CFKICFFG_00046","IFAGOEOF_00065","LJFFEAFL_00256",""
"group_309","","hypothetical protein","13","13","1","1","428","1","282","","275","275","275","PPNGLMBF_00150","AFBCLFAJ_00059","LBLEHJFL_00059","EBLMJKPD_00121","CIDCPHMN_00080","CFLCBKEF_00063","","BOFEBHGI_00118","DHNEMLFG_00098","EFDDGJBK_00120","","IHJENLPO_00087","CFKICFFG_00045","IFAGOEOF_00066","LJFFEAFL_00257",""
"group_310","","hypothetical protein","13","13","1","1","433","7","3","","167","167","167","PPNGLMBF_00154","AFBCLFAJ_00055","LBLEHJFL_00055","EBLMJKPD_00117","CIDCPHMN_00085","CFLCBKEF_00059","","BOFEBHGI_00122","DHNEMLFG_00102","EFDDGJBK_00124","","IHJENLPO_00091","CFKICFFG_00041","IFAGOEOF_00070","LJFFEAFL_00261",""
"group_311","","hypothetical protein","13","13","1","1","432","7","2","","641","641","641","PPNGLMBF_00155","AFBCLFAJ_00054","LBLEHJFL_00054","EBLMJKPD_00116","CIDCPHMN_00086","CFLCBKEF_00058","","BOFEBHGI_00123","DHNEMLFG_00103","EFDDGJBK_00125","","IHJENLPO_00092","CFKICFFG_00040","IFAGOEOF_00071","LJFFEAFL_00262",""
"group_312","","hypothetical protein","13","13","1","1","40","7","1","","320","320","320","PPNGLMBF_00156","AFBCLFAJ_00053","LBLEHJFL_00053","EBLMJKPD_00115","CIDCPHMN_00087","CFLCBKEF_00057","","BOFEBHGI_00124","DHNEMLFG_00104","EFDDGJBK_00126","","IHJENLPO_00093","CFKICFFG_00039","IFAGOEOF_00072","LJFFEAFL_00263",""
"group_40","","hypothetical protein","13","13","1","1","335","3","13","","563","2822","2606","PPNGLMBF_00079","","LBLEHJFL_00129","","CIDCPHMN_00011","CFLCBKEF_00134","EMANLNOE_00069","BOFEBHGI_00046","DHNEMLFG_00025","EFDDGJBK_00047","LBMCKPDB_00014","IHJENLPO_00014","","IFAGOEOF_00179","LJFFEAFL_00097","MOLELEAL_00122"
"group_528","","IS3 family transposase IS629","13","13","1","1","479","1","123","","326","326","326","","AFBCLFAJ_00021","LBLEHJFL_00021","EBLMJKPD_00082","CIDCPHMN_00121","CFLCBKEF_00022","EMANLNOE_00128","BOFEBHGI_00003","","EFDDGJBK_00003","LBMCKPDB_00123","IHJENLPO_00124","","IFAGOEOF_00103","LJFFEAFL_00032","MOLELEAL_00023"
"xerC_2","","Tyrosine recombinase XerC","13","13","1","1","430","1","280","","323","809","762","PPNGLMBF_00151","AFBCLFAJ_00058","LBLEHJFL_00058","EBLMJKPD_00120","CIDCPHMN_00082","CFLCBKEF_00062","","BOFEBHGI_00119","DHNEMLFG_00099","EFDDGJBK_00121","","IHJENLPO_00088","CFKICFFG_00044","IFAGOEOF_00067","LJFFEAFL_00258",""
"group_90","","hypothetical protein","13","13","1","1","509","1","305","","854","926","873","PPNGLMBF_00138","AFBCLFAJ_00069","LBLEHJFL_00069","EBLMJKPD_00131","CIDCPHMN_00070","CFLCBKEF_00073","","BOFEBHGI_00108","DHNEMLFG_00086","EFDDGJBK_00110","","IHJENLPO_00077","CFKICFFG_00055","IFAGOEOF_00054","LJFFEAFL_00245",""
"umuC_1","","SOS mutagenesis and repair","13","13","1","1","30","1","310","","440","992","911","PPNGLMBF_00143","AFBCLFAJ_00064","LBLEHJFL_00064","EBLMJKPD_00126","CIDCPHMN_00075","CFLCBKEF_00068","","BOFEBHGI_00113","DHNEMLFG_00091","EFDDGJBK_00115","","IHJENLPO_00082","CFKICFFG_00050","IFAGOEOF_00059","LJFFEAFL_00250",""
"group_126","","hypothetical protein","12","12","1","1","221","3","5","","287","287","287","PPNGLMBF_00082","AFBCLFAJ_00125","LBLEHJFL_00126","EBLMJKPD_00038","","CFLCBKEF_00131","","BOFEBHGI_00049","DHNEMLFG_00030","EFDDGJBK_00051","","IHJENLPO_00018","CFKICFFG_00113","IFAGOEOF_00004","LJFFEAFL_00100",""
"umuC_2","","SOS mutagenesis and repair","12","12","1","1","33","1","307","","233","248","234","PPNGLMBF_00146","AFBCLFAJ_00063","LBLEHJFL_00063","EBLMJKPD_00125","","CFLCBKEF_00067","","BOFEBHGI_00114","DHNEMLFG_00094","EFDDGJBK_00116","","IHJENLPO_00083","CFKICFFG_00049","IFAGOEOF_00062","LJFFEAFL_00253",""
"group_280","","hypothetical protein","12","12","1","1","237","6","5","","218","218","218","PPNGLMBF_00096","AFBCLFAJ_00111","LBLEHJFL_00112","EBLMJKPD_00024","CIDCPHMN_00028","CFLCBKEF_00117","","BOFEBHGI_00063","","EFDDGJBK_00066","","IHJENLPO_00033","CFKICFFG_00098","IFAGOEOF_00018","LJFFEAFL_00204",""
"group_284","","hypothetical protein","12","12","1","1","240","5","1","","233","233","233","PPNGLMBF_00100","AFBCLFAJ_00107","LBLEHJFL_00108","EBLMJKPD_00020","","CFLCBKEF_00113","","BOFEBHGI_00067","DHNEMLFG_00049","EFDDGJBK_00070","","IHJENLPO_00037","CFKICFFG_00094","IFAGOEOF_00022","LJFFEAFL_00208",""
"group_296","","hypothetical protein","12","12","1","1","9","1","296","","434","434","434","PPNGLMBF_00134","AFBCLFAJ_00075","LBLEHJFL_00075","EBLMJKPD_00138","","CFLCBKEF_00080","","BOFEBHGI_00102","DHNEMLFG_00083","EFDDGJBK_00104","","IHJENLPO_00071","CFKICFFG_00061","IFAGOEOF_00051","LJFFEAFL_00241",""
"group_43","","hypothetical protein","12","12","1","1","219","3","9","","557","1373","1263","PPNGLMBF_00080","AFBCLFAJ_00127","LBLEHJFL_00128","EBLMJKPD_00040","CIDCPHMN_00012","CFLCBKEF_00133","","BOFEBHGI_00047","DHNEMLFG_00026","EFDDGJBK_00049","","IHJENLPO_00016","CFKICFFG_00115","","LJFFEAFL_00098",""
"group_51","","hypothetical protein","12","12","1","1","76","1","134","","260","653","461","PPNGLMBF_00026","AFBCLFAJ_00027","LBLEHJFL_00027","EBLMJKPD_00089","CIDCPHMN_00115","","EMANLNOE_00120","BOFEBHGI_00009","DHNEMLFG_00129","EFDDGJBK_00009","LBMCKPDB_00117","IHJENLPO_00118","","","","MOLELEAL_00015"
"group_123","","hypothetical protein","11","11","1","1","333","3","14","","164","479","398","PPNGLMBF_00078","AFBCLFAJ_00130","LBLEHJFL_00130","EBLMJKPD_00042","","CFLCBKEF_00135","","BOFEBHGI_00045","DHNEMLFG_00024","EFDDGJBK_00046","","IHJENLPO_00013","CFKICFFG_00118","","LJFFEAFL_00096",""
"group_189","","hypothetical protein","11","11","1","1","272","4","5","","335","335","335","PPNGLMBF_00116","","LBLEHJFL_00092","EBLMJKPD_00005","CIDCPHMN_00046","CFLCBKEF_00098","","BOFEBHGI_00082","DHNEMLFG_00065","EFDDGJBK_00085","","IHJENLPO_00052","CFKICFFG_00079","","LJFFEAFL_00223",""
"group_200","","hypothetical protein","11","11","1","1","7","1","293","","170","245","176","","AFBCLFAJ_00077","LBLEHJFL_00077","EBLMJKPD_00140","CIDCPHMN_00062","","","BOFEBHGI_00100","DHNEMLFG_00081","EFDDGJBK_00102","","IHJENLPO_00069","CFKICFFG_00063","IFAGOEOF_00049","LJFFEAFL_00239",""
"ykfF","","CP4-6 prophage; predicted protein","11","11","1","1","522","1","249","","233","233","233","PPNGLMBF_00121","AFBCLFAJ_00088","LBLEHJFL_00087","","CIDCPHMN_00051","CFLCBKEF_00093","","BOFEBHGI_00087","DHNEMLFG_00070","EFDDGJBK_00090","","","CFKICFFG_00074","IFAGOEOF_00040","LJFFEAFL_00228",""
"yhdJ","","DNA adenine methyltransferase","11","11","1","1","510","1","298","","683","683","683","PPNGLMBF_00136","AFBCLFAJ_00073","LBLEHJFL_00073","","CIDCPHMN_00066","","","BOFEBHGI_00104","DHNEMLFG_00085","EFDDGJBK_00106","","IHJENLPO_00073","CFKICFFG_00059","IFAGOEOF_00053","LJFFEAFL_00243",""
"group_115","","hypothetical protein","10","10","1","1","71","1","125","","284","509","486","","AFBCLFAJ_00023","LBLEHJFL_00023","","CIDCPHMN_00119","CFLCBKEF_00025","","BOFEBHGI_00005","","EFDDGJBK_00005","LBMCKPDB_00121","IHJENLPO_00122","","IFAGOEOF_00101","LJFFEAFL_00030",""
"group_255","","hypothetical protein","10","10","1","1","69","1","116","","209","209","209","PPNGLMBF_00028","AFBCLFAJ_00026","LBLEHJFL_00026","EBLMJKPD_00087","","","EMANLNOE_00123","BOFEBHGI_00008","DHNEMLFG_00131","EFDDGJBK_00008","","IHJENLPO_00119","","","","MOLELEAL_00018"
"group_505","","hypothetical protein","10","10","1","1","271","4","2","","236","236","236","PPNGLMBF_00115","AFBCLFAJ_00093","","EBLMJKPD_00006","CIDCPHMN_00045","CFLCBKEF_00099","","BOFEBHGI_00081","","EFDDGJBK_00084","","IHJENLPO_00051","CFKICFFG_00080","","LJFFEAFL_00222",""
"group_506","","hypothetical protein","10","10","1","1","525","1","250","","236","236","236","PPNGLMBF_00123","AFBCLFAJ_00086","","EBLMJKPD_00150","CIDCPHMN_00053","CFLCBKEF_00091","","BOFEBHGI_00089","","EFDDGJBK_00092","","IHJENLPO_00059","CFKICFFG_00072","","LJFFEAFL_00230",""
"group_91","","hypothetical protein","10","10","1","1","27","1","312","","203","926","275","","AFBCLFAJ_00072","LBLEHJFL_00072","EBLMJKPD_00134","CIDCPHMN_00067","CFLCBKEF_00076","","BOFEBHGI_00105","","EFDDGJBK_00107","","IHJENLPO_00074","CFKICFFG_00058","","LJFFEAFL_00156",""
"group_113","","hypothetical protein","9","9","1","1","504","1","299","","209","1169","1062","","","LBLEHJFL_00050","EBLMJKPD_00112","CIDCPHMN_00090","CFLCBKEF_00054","","BOFEBHGI_00127","DHNEMLFG_00107","EFDDGJBK_00129","","IHJENLPO_00096","","IFAGOEOF_00075","",""
"group_117","resA_2","Thiol-disulfide oxidoreductase ResA","9","9","1","1","64","12","1","","305","485","465","","AFBCLFAJ_00014","LBLEHJFL_00014","EBLMJKPD_00075","","CFLCBKEF_00015","EMANLNOE_00135","","DHNEMLFG_00143","","","","CFKICFFG_00015","IFAGOEOF_00110","","MOLELEAL_00002"
"hha","","haemolysin expression modulating protein","9","9","1","1","133","1","340","","209","209","209","PPNGLMBF_00069","","LBLEHJFL_00139","EBLMJKPD_00056","","","","","DHNEMLFG_00004","EFDDGJBK_00037","","IHJENLPO_00003","CFKICFFG_00127","IFAGOEOF_00168","LJFFEAFL_00087",""
"group_519","","IS6 family transposase IS26","9","9","1","1","56","1","330","","704","704","704","","AFBCLFAJ_00004","LBLEHJFL_00004","EBLMJKPD_00065","CIDCPHMN_00138","CFLCBKEF_00004","","BOFEBHGI_00033","","EFDDGJBK_00033","","IHJENLPO_00141","CFKICFFG_00005","","",""
"group_96","","hypothetical protein","9","9","1","1","480","1","118","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","251","371","352","","AFBCLFAJ_00019","LBLEHJFL_00019","EBLMJKPD_00080","CIDCPHMN_00123","CFLCBKEF_00020","EMANLNOE_00130","","DHNEMLFG_00138","","","","CFKICFFG_00020","IFAGOEOF_00105","",""
