"","pAPEC_O2_ColV","working_name","Percent_hit"
"ESC_NA3996AA_AS",27166,"ESC_NA3996AA_AS",15
"ESC_NA3997AA_AS",23238,"ESC_NA3997AA_AS",13
"ESC_NA3999AA_AS",84412,"ESC_NA3999AA_AS",46
"ESC_NA4000AA_AS",86498,"ESC_NA4000AA_AS",47
"ESC_NA4001AA_AS",89378,"ESC_NA4001AA_AS",48
"ESC_NA4002AA_AS",85904,"ESC_NA4002AA_AS",47
"ESC_NA4003AA_AS",85475,"ESC_NA4003AA_AS",46
"ESC_NA4004AA_AS",86778,"ESC_NA4004AA_AS",47
"ESC_NA4005AA_AS",87499,"ESC_NA4005AA_AS",47
"ESC_NA4006AA_AS",6967,"ESC_NA4006AA_AS",4
"ESC_NA4008AA_AS",6967,"ESC_NA4008AA_AS",4
"ESC_NA4009AA_AS",6962,"ESC_NA4009AA_AS",4
"ESC_NA4010AA_AS",27932,"ESC_NA4010AA_AS",15
"ESC_NA4012AA_AS",37632,"ESC_NA4012AA_AS",20
"ESC_NA4013AA_AS",89363,"ESC_NA4013AA_AS",48
"ESC_NA4015AA_AS",53516,"ESC_NA4015AA_AS",29
"ESC_NA4016AA_AS",27166,"ESC_NA4016AA_AS",15
"ESC_NA4018AA_AS",28379,"ESC_NA4018AA_AS",15
"ESC_NA4019AA_AS",89780,"ESC_NA4019AA_AS",49
"ESC_NA4020AA_AS",40083,"ESC_NA4020AA_AS",22
"ESC_NA4021AA_AS",93177,"ESC_NA4021AA_AS",51
"ESC_NA4022AA_AS",27166,"ESC_NA4022AA_AS",15
"ESC_NA4023AA_AS",42373,"ESC_NA4023AA_AS",23
"ESC_NA4024AA_AS",93849,"ESC_NA4024AA_AS",51
"ESC_NA4025AA_AS",86425,"ESC_NA4025AA_AS",47
"ESC_NA4026AA_AS",27166,"ESC_NA4026AA_AS",15
"ESC_NA4027AA_AS",28399,"ESC_NA4027AA_AS",15
"ESC_NA4028AA_AS",88756,"ESC_NA4028AA_AS",48
"ESC_NA4029AA_AS",28417,"ESC_NA4029AA_AS",15
"ESC_NA4030AA_AS",89397,"ESC_NA4030AA_AS",48
"ESC_NA4031AA_AS",27166,"ESC_NA4031AA_AS",15
"ESC_NA4032AA_AS",85431,"ESC_NA4032AA_AS",46
"ESC_NA4033AA_AS",41253,"ESC_NA4033AA_AS",22
"ESC_NA4034AA_AS",23492,"ESC_NA4034AA_AS",13
"ESC_NA4035AA_AS",87423,"ESC_NA4035AA_AS",47
"ESC_NA4036AA_AS",94224,"ESC_NA4036AA_AS",51
"ESC_NA4037AA_AS",86800,"ESC_NA4037AA_AS",47
"ESC_NA4038AA_AS",28399,"ESC_NA4038AA_AS",15
"ESC_NA4040AA_AS",28417,"ESC_NA4040AA_AS",15
"ESC_NA4043AA_AS",90254,"ESC_NA4043AA_AS",49
"ESC_NA4044AA_AS",85876,"ESC_NA4044AA_AS",47
"ESC_NA4045AA_AS",84695,"ESC_NA4045AA_AS",46
"ESC_NA4046AA_AS",6961,"ESC_NA4046AA_AS",4
"ESC_NA4048AA_AS",92067,"ESC_NA4048AA_AS",50
"ESC_NA4049AA_AS",82391,"ESC_NA4049AA_AS",45
"ESC_NA4051AA_AS",28417,"ESC_NA4051AA_AS",15
"ESC_NA4052AA_AS",84880,"ESC_NA4052AA_AS",46
"ESC_NA4053AA_AS",84955,"ESC_NA4053AA_AS",46
"ESC_NA4054AA_AS",27165,"ESC_NA4054AA_AS",15
"ESC_NA4055AA_AS",87421,"ESC_NA4055AA_AS",47
"ESC_NA4056AA_AS",87839,"ESC_NA4056AA_AS",48
"ESC_NA4057AA_AS",91857,"ESC_NA4057AA_AS",50
"ESC_NA4058AA_AS",86558,"ESC_NA4058AA_AS",47
"ESC_NA4059AA_AS",90113,"ESC_NA4059AA_AS",49
"ESC_NA4060AA_AS",79739,"ESC_NA4060AA_AS",43
"ESC_NA4061AA_AS",85637,"ESC_NA4061AA_AS",46
"ESC_NA4062AA_AS",28549,"ESC_NA4062AA_AS",15
"ESC_NA4063AA_AS",87504,"ESC_NA4063AA_AS",47
"ESC_NA4064AA_AS",27349,"ESC_NA4064AA_AS",15
"ESC_NA4065AA_AS",28449,"ESC_NA4065AA_AS",15
"ESC_NA4066AA_AS",89117,"ESC_NA4066AA_AS",48
"ESC_NA4067AA_AS",87404,"ESC_NA4067AA_AS",47
"ESC_NA4068AA_AS",87423,"ESC_NA4068AA_AS",47
"ESC_NA4069AA_AS",85909,"ESC_NA4069AA_AS",47
"ESC_NA4070AA_AS",86029,"ESC_NA4070AA_AS",47
"ESC_NA4071AA_AS",87237,"ESC_NA4071AA_AS",47
"ESC_NA4072AA_AS",85781,"ESC_NA4072AA_AS",46
"ESC_PA1111AA_AS",28417,"ESC_PA1111AA_AS",15
"ESC_PA1355AA_AS",28417,"ESC_PA1355AA_AS",15
"ESC_PA1356AA_AS",45424,"ESC_PA1356AA_AS",25
"ESC_PA7839AA_AS",76151,"ESC_PA7839AA_AS",41
"ESC_QA2182AA_AS",17911,"ESC_QA2182AA_AS",10
"ESC_QA2890AA_AS",76368,"ESC_QA2890AA_AS",41
"ESC_QA3565AA_AS",42386,"ESC_QA3565AA_AS",23
"ESC_QA3671AA_AS",85550,"ESC_QA3671AA_AS",46
"ESC_QA3675AA_AS",94069,"ESC_QA3675AA_AS",51
"ESC_QA3677AA_AS",38137,"ESC_QA3677AA_AS",21
"ESC_QA5163AA_AS",35713,"ESC_QA5163AA_AS",19
"ESC_QA5188AA_AS",81695,"ESC_QA5188AA_AS",44
"ESC_QA5199AA_AS",37362,"ESC_QA5199AA_AS",20
"ESC_QA5208AA_AS",37628,"ESC_QA5208AA_AS",20
"ESC_QA5378AA_AS",30596,"ESC_QA5378AA_AS",17
"ESC_QA5479AA_AS",37372,"ESC_QA5479AA_AS",20
"ESC_QA5498AA_AS",25828,"ESC_QA5498AA_AS",14
"ESC_QA5539AA_AS",41435,"ESC_QA5539AA_AS",22
"ESC_QA5645AA_AS",43634,"ESC_QA5645AA_AS",24
"ESC_QA5905AA_AS",37723,"ESC_QA5905AA_AS",20
"ESC_QA5908AA_AS",24815,"ESC_QA5908AA_AS",13
"ESC_QA5919AA_AS",86702,"ESC_QA5919AA_AS",47
"ESC_QA6460AA_AS",25830,"ESC_QA6460AA_AS",14
"ESC_QA6616AA_AS",25808,"ESC_QA6616AA_AS",14
"ESC_QA6930AA_AS",31684,"ESC_QA6930AA_AS",17
"ESC_QA7345AA_AS",28040,"ESC_QA7345AA_AS",15
"ESC_QA7385AA_AS",35269,"ESC_QA7385AA_AS",19
"ESC_QA7392AA_AS",37632,"ESC_QA7392AA_AS",20
"ESC_QA7436AA_AS",28417,"ESC_QA7436AA_AS",15
"ESC_QA7440AA_AS",37632,"ESC_QA7440AA_AS",20
"ESC_QA7446AA_AS",88391,"ESC_QA7446AA_AS",48
"ESC_QA7591AA_AS",85469,"ESC_QA7591AA_AS",46
"ESC_QA7811AA_AS",25830,"ESC_QA7811AA_AS",14
"ESC_QA7860AA_AS",142876,"ESC_QA7860AA_AS",77
"ESC_QA7877AA_AS",27583,"ESC_QA7877AA_AS",15
"ESC_QA7878AA_AS",24495,"ESC_QA7878AA_AS",13
"ESC_QA7942AA_AS",86556,"ESC_QA7942AA_AS",47
"ESC_QA7947AA_AS",25830,"ESC_QA7947AA_AS",14
"ESC_QA7981AA_AS",27443,"ESC_QA7981AA_AS",15
"ESC_QA8120AA_AS",36033,"ESC_QA8120AA_AS",20
"ESC_QA8121AA_AS",73596,"ESC_QA8121AA_AS",40
"ESC_QA8168AA_AS",67072,"ESC_QA8168AA_AS",36
"ESC_QA8186AA_AS",26547,"ESC_QA8186AA_AS",14
"ESC_QA8859AA_AS",28668,"ESC_QA8859AA_AS",16
"ESC_QA8947AA_AS",25830,"ESC_QA8947AA_AS",14
"ESC_QA8948AA_AS",30486,"ESC_QA8948AA_AS",17
"ESC_QA8950AA_AS",29025,"ESC_QA8950AA_AS",16
"ESC_QA8963AA_AS",42386,"ESC_QA8963AA_AS",23
"ESC_QA9416AA_AS",24547,"ESC_QA9416AA_AS",13
"ESC_QA9654AA_AS",87337,"ESC_QA9654AA_AS",47
"ESC_RA0152AA_AS",25955,"ESC_RA0152AA_AS",14
"ESC_RA4044AA_AS",80963,"ESC_RA4044AA_AS",44
"ESC_RA4047AA_AS",75245,"ESC_RA4047AA_AS",41
"ESC_RA4048AA_AS",83537,"ESC_RA4048AA_AS",45
"ESC_RA4050AA_AS",75245,"ESC_RA4050AA_AS",41
"ESC_RA4068AA_AS",75327,"ESC_RA4068AA_AS",41
"ESC_RA4278AA_AS",88137,"ESC_RA4278AA_AS",48
"ESC_RA4281AA_AS",88137,"ESC_RA4281AA_AS",48
"ESC_RA4508AA_AS",6342,"ESC_RA4508AA_AS",3
"ESC_RA7116AA_AS",91943,"ESC_RA7116AA_AS",50
"ESC_SA0482AA_AS",43718,"ESC_SA0482AA_AS",24
"ESC_SA0489AA_AS",42386,"ESC_SA0489AA_AS",23
"ESC_SA2297AA_AS",29882,"ESC_SA2297AA_AS",16
"ESC_SA2410AA_AS",6967,"ESC_SA2410AA_AS",4
"ESC_SA2728AA_AS",28329,"ESC_SA2728AA_AS",15
"ESC_SA2788AA_AS",91617,"ESC_SA2788AA_AS",50
"ESC_SA3661AA_AS",88136,"ESC_SA3661AA_AS",48
"ESC_SA4839AA_AS",87859,"ESC_SA4839AA_AS",48
"ESC_SA5048AA_AS",5283,"ESC_SA5048AA_AS",3
"ESC_SA6572AA_AS",28251,"ESC_SA6572AA_AS",15
"ESC_SA8243AA_AS",95182,"ESC_SA8243AA_AS",52
"ESC_SA8250AA_AS",94973,"ESC_SA8250AA_AS",51
"ESC_SA8273AA_AS",97403,"ESC_SA8273AA_AS",53
"ESC_SA8291AA_AS",85626,"ESC_SA8291AA_AS",46
"ESC_SA8296AA_AS",86699,"ESC_SA8296AA_AS",47
"ESC_SA8301AA_AS",87076,"ESC_SA8301AA_AS",47
"ESC_SA8312AA_AS",159545,"ESC_SA8312AA_AS",86
"ESC_TA2365AA_AS",25480,"ESC_TA2365AA_AS",14
"ESC_TA2436AA_AS",26980,"ESC_TA2436AA_AS",15
"ESC_TA2839AA_AS",86886,"ESC_TA2839AA_AS",47
"ESC_TA7147AA_AS",76266,"ESC_TA7147AA_AS",41
"ESC_TA7169AA_AS",89763,"ESC_TA7169AA_AS",49
"ESC_TA8195AA_AS",87972,"ESC_TA8195AA_AS",48
"ESC_TA8466AA_AS",28157,"ESC_TA8466AA_AS",15
"ESC_TA8684AA_AS",79841,"ESC_TA8684AA_AS",43
"ESC_TA8693AA_AS",28417,"ESC_TA8693AA_AS",15
"ESC_TA8694AA_AS",96549,"ESC_TA8694AA_AS",52
"ESC_TA8695AA_AS",28417,"ESC_TA8695AA_AS",15
"ESC_TA8696AA_AS",28417,"ESC_TA8696AA_AS",15
"ESC_TA8698AA_AS",28417,"ESC_TA8698AA_AS",15
"ESC_TA8700AA_AS",28417,"ESC_TA8700AA_AS",15
"ESC_TA8706AA_AS",30653,"ESC_TA8706AA_AS",17
"ESC_TA8708AA_AS",27606,"ESC_TA8708AA_AS",15
"ESC_TA8713AA_AS",28417,"ESC_TA8713AA_AS",15
"ESC_TA8716AA_AS",28417,"ESC_TA8716AA_AS",15
"ESC_TA8717AA_AS",28417,"ESC_TA8717AA_AS",15
"ESC_TA8724AA_AS",34425,"ESC_TA8724AA_AS",19
"ESC_TA8730AA_AS",28417,"ESC_TA8730AA_AS",15
"ESC_TA8731AA_AS",51957,"ESC_TA8731AA_AS",28
"ESC_TA8792AA_AS",28157,"ESC_TA8792AA_AS",15
"ESC_TA8927AA_AS",85985,"ESC_TA8927AA_AS",47
"ESC_TA9938AA_AS",30289,"ESC_TA9938AA_AS",16
"ESC_UA1505AA_AS",90243,"ESC_UA1505AA_AS",49
"ESC_UA1831AA_AS",44360,"ESC_UA1831AA_AS",24
"ESC_VA0598AA_AS",87422,"ESC_VA0598AA_AS",47
"ESC_VA1064AA_AS",79345,"ESC_VA1064AA_AS",43
"ESC_VA3679AA_AS",158120,"ESC_VA3679AA_AS",86
"ESC_VA4677AA_AS",90113,"ESC_VA4677AA_AS",49
"ESC_VA5393AA_AS",44991,"ESC_VA5393AA_AS",24
"ESC_VA7372AA_AS",41046,"ESC_VA7372AA_AS",22
"ESC_WA0219AA_AS",33958,"ESC_WA0219AA_AS",18
"ESC_WA0222AA_AS",29374,"ESC_WA0222AA_AS",16
"ESC_WA1915AA_AS",90031,"ESC_WA1915AA_AS",49
"ESC_WA2637AA_AS",87886,"ESC_WA2637AA_AS",48
"ESC_WA2654AA_AS",87448,"ESC_WA2654AA_AS",47
"ESC_WA2657AA_AS",87448,"ESC_WA2657AA_AS",47
"ESC_WA2664AA_AS",87448,"ESC_WA2664AA_AS",47
"ESC_WA2673AA_AS",86886,"ESC_WA2673AA_AS",47
"ESC_WA6850AA_AS",28618,"ESC_WA6850AA_AS",16
"ESC_WA6851AA_AS",37833,"ESC_WA6851AA_AS",21
"ESC_WA6852AA_AS",6967,"ESC_WA6852AA_AS",4
"ESC_WA6853AA_AS",27606,"ESC_WA6853AA_AS",15
"ESC_WA6854AA_AS",33094,"ESC_WA6854AA_AS",18
"ESC_WA6855AA_AS",35956,"ESC_WA6855AA_AS",19
"ESC_WA6856AA_AS",37833,"ESC_WA6856AA_AS",21
"ESC_WA6857AA_AS",37746,"ESC_WA6857AA_AS",20
"ESC_WA6859AA_AS",89618,"ESC_WA6859AA_AS",49
"ESC_WA6860AA_AS",28158,"ESC_WA6860AA_AS",15
"ESC_WA6886AA_AS",83119,"ESC_WA6886AA_AS",45
"ESC_WA6887AA_AS",36879,"ESC_WA6887AA_AS",20
"ESC_WA6888AA_AS",37991,"ESC_WA6888AA_AS",21
"ESC_WA6922AA_AS",87749,"ESC_WA6922AA_AS",48
"ESC_WA6923AA_AS",6967,"ESC_WA6923AA_AS",4
"ESC_WA6924AA_AS",28317,"ESC_WA6924AA_AS",15
"ESC_WA6925AA_AS",28494,"ESC_WA6925AA_AS",15
"ESC_WA6926AA_AS",90301,"ESC_WA6926AA_AS",49
"ESC_WA6927AA_AS",28702,"ESC_WA6927AA_AS",16
"ESC_WA6928AA_AS",28703,"ESC_WA6928AA_AS",16
"ESC_WA6929AA_AS",28618,"ESC_WA6929AA_AS",16
"ESC_WA6932AA_AS",89994,"ESC_WA6932AA_AS",49
"ESC_WA6933AA_AS",29231,"ESC_WA6933AA_AS",16
"ESC_WA6970AA_AS",28283,"ESC_WA6970AA_AS",15
"ESC_WA6971AA_AS",27166,"ESC_WA6971AA_AS",15
"ESC_WA6972AA_AS",76515,"ESC_WA6972AA_AS",41
"ESC_WA6975AA_AS",28387,"ESC_WA6975AA_AS",15
"ESC_WA6976AA_AS",16182,"ESC_WA6976AA_AS",9
"ESC_WA6977AA_AS",87406,"ESC_WA6977AA_AS",47
"ESC_WA6979AA_AS",28462,"ESC_WA6979AA_AS",15
"ESC_WA9611AA_AS",143848,"ESC_WA9611AA_AS",78
"ESC_WA9986AA_AS",87807,"ESC_WA9986AA_AS",48
"ESC_XA0482AA_AS",90321,"ESC_XA0482AA_AS",49
"ESC_XA1004AA_AS",28009,"ESC_XA1004AA_AS",15
"ESC_XA1018AA_AS",28157,"ESC_XA1018AA_AS",15
"ESC_XA1050AA_AS",87362,"ESC_XA1050AA_AS",47
"ESC_XA1055AA_AS",90200,"ESC_XA1055AA_AS",49
"ESC_XA1066AA_AS",28417,"ESC_XA1066AA_AS",15
"ESC_XA1076AA_AS",28417,"ESC_XA1076AA_AS",15
"ESC_XA1079AA_AS",29098,"ESC_XA1079AA_AS",16
"ESC_XA1089AA_AS",28149,"ESC_XA1089AA_AS",15
"ESC_XA1108AA_AS",28703,"ESC_XA1108AA_AS",16
"ESC_XA1114AA_AS",24173,"ESC_XA1114AA_AS",13
"ESC_XA1115AA_AS",6962,"ESC_XA1115AA_AS",4
"ESC_XA1126AA_AS",86744,"ESC_XA1126AA_AS",47
"ESC_XA1127AA_AS",18643,"ESC_XA1127AA_AS",10
"ESC_XA1135AA_AS",87973,"ESC_XA1135AA_AS",48
"ESC_XA1141AA_AS",63611,"ESC_XA1141AA_AS",34
"ESC_XA1146AA_AS",23255,"ESC_XA1146AA_AS",13
"ESC_XA1150AA_AS",28703,"ESC_XA1150AA_AS",16
"ESC_XA1159AA_AS",89853,"ESC_XA1159AA_AS",49
"ESC_XA1162AA_AS",28429,"ESC_XA1162AA_AS",15
"ESC_XA1186AA_AS",37632,"ESC_XA1186AA_AS",20
"ESC_XA1205AA_AS",28417,"ESC_XA1205AA_AS",15
"ESC_XA1222AA_AS",92020,"ESC_XA1222AA_AS",50
"ESC_XA1223AA_AS",28157,"ESC_XA1223AA_AS",15
"ESC_XA1224AA_AS",28518,"ESC_XA1224AA_AS",15
"ESC_XA1239AA_AS",28518,"ESC_XA1239AA_AS",15
"ESC_XA1243AA_AS",28417,"ESC_XA1243AA_AS",15
"ESC_XA1246AA_AS",28417,"ESC_XA1246AA_AS",15
"ESC_XA1253AA_AS",28045,"ESC_XA1253AA_AS",15
"ESC_XA1273AA_AS",90011,"ESC_XA1273AA_AS",49
"ESC_XA1274AA_AS",28417,"ESC_XA1274AA_AS",15
"ESC_XA1293AA_AS",28417,"ESC_XA1293AA_AS",15
"ESC_XA1294AA_AS",28417,"ESC_XA1294AA_AS",15
"ESC_XA1311AA_AS",23529,"ESC_XA1311AA_AS",13
"ESC_XA1313AA_AS",30158,"ESC_XA1313AA_AS",16
"ESC_XA1321AA_AS",28702,"ESC_XA1321AA_AS",16
"ESC_XA1348AA_AS",81195,"ESC_XA1348AA_AS",44
"ESC_XA1350AA_AS",89641,"ESC_XA1350AA_AS",49
"ESC_XA1359AA_AS",88039,"ESC_XA1359AA_AS",48
"ESC_XA1360AA_AS",36339,"ESC_XA1360AA_AS",20
"ESC_XA1375AA_AS",28417,"ESC_XA1375AA_AS",15
"ESC_XA1381AA_AS",26656,"ESC_XA1381AA_AS",14
"ESC_XA1384AA_AS",37632,"ESC_XA1384AA_AS",20
"ESC_XA1393AA_AS",86192,"ESC_XA1393AA_AS",47
"ESC_XA1397AA_AS",88439,"ESC_XA1397AA_AS",48
"ESC_XA1403AA_AS",80511,"ESC_XA1403AA_AS",44
"ESC_XA1408AA_AS",90580,"ESC_XA1408AA_AS",49
"ESC_XA4718AA_AS",23874,"ESC_XA4718AA_AS",13
"ESC_XA7358AA_AS",90031,"ESC_XA7358AA_AS",49
"ESC_XA8795AA_AS",28417,"ESC_XA8795AA_AS",15
"ESC_YA6556AA_AS",28618,"ESC_YA6556AA_AS",16
"ESC_ZA6514AA_AS",42386,"ESC_ZA6514AA_AS",23
"ESC_ZA9457AA_AS",42386,"ESC_ZA9457AA_AS",23
