"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESC_NA4003AA_AS","ESC_NA4004AA_AS","ESC_NA4005AA_AS","ESC_NA4045AA_AS"
"group_1893","","hypothetical protein","4","4","1","1","299","","","","383","383","383","LOCUS_17760","f76cef297a7dedb9150c88bc61db4d5a_2441","d0dc75faf82af35216c4087e568ab6aa_1813","e27c64c29733013eb4c363b5c7ab13b8_2040"
"group_1894","","isocitrate lyase","4","4","1","37","9","","","","350","350","350","LOCUS_46860","f76cef297a7dedb9150c88bc61db4d5a_4822","d0dc75faf82af35216c4087e568ab6aa_4507","e27c64c29733013eb4c363b5c7ab13b8_4830"
"mltC","","membrane-bound lytic murein transglycosylase C","4","4","1","3","7","","","","1082","1082","1082","LOCUS_24150","f76cef297a7dedb9150c88bc61db4d5a_4061","d0dc75faf82af35216c4087e568ab6aa_3505","e27c64c29733013eb4c363b5c7ab13b8_5"
"group_1896","","hypothetical protein","4","4","1","11","49","","","","302","302","302","LOCUS_34950","f76cef297a7dedb9150c88bc61db4d5a_2415","d0dc75faf82af35216c4087e568ab6aa_2072","e27c64c29733013eb4c363b5c7ab13b8_3307"
"group_1897","","membrane protein","4","4","1","6","180","","","","281","281","281","LOCUS_15450","f76cef297a7dedb9150c88bc61db4d5a_1668","d0dc75faf82af35216c4087e568ab6aa_1324","e27c64c29733013eb4c363b5c7ab13b8_869"
"group_1898","yeeW","hypothetical protein","4","4","1","6","87","","","","194","194","194","LOCUS_41460","f76cef297a7dedb9150c88bc61db4d5a_4332","d0dc75faf82af35216c4087e568ab6aa_3675","e27c64c29733013eb4c363b5c7ab13b8_3886"
"atpA","","ATP synthase subunit alpha","4","4","1","12","23","","","","1541","1541","1541","LOCUS_11200","f76cef297a7dedb9150c88bc61db4d5a_2190","d0dc75faf82af35216c4087e568ab6aa_3258","e27c64c29733013eb4c363b5c7ab13b8_1645"
"group_19","","hypothetical protein","4","4","1","1","87","","","","152","209","180","LOCUS_03550","f76cef297a7dedb9150c88bc61db4d5a_2929","d0dc75faf82af35216c4087e568ab6aa_1179","e27c64c29733013eb4c363b5c7ab13b8_2497"
"group_1900","","two-component system response regulator TorR","4","4","1","1","67","","","","692","692","692","LOCUS_03750","f76cef297a7dedb9150c88bc61db4d5a_2949","d0dc75faf82af35216c4087e568ab6aa_1159","e27c64c29733013eb4c363b5c7ab13b8_2517"
"yhjX","","MFS transporter","4","4","1","14","84","","","","1208","1208","1208","LOCUS_26490","f76cef297a7dedb9150c88bc61db4d5a_3311","d0dc75faf82af35216c4087e568ab6aa_174","e27c64c29733013eb4c363b5c7ab13b8_2086"
"sufI","","cell division protein FtsP","4","4","1","20","78","","","","1412","1412","1412","LOCUS_31940","f76cef297a7dedb9150c88bc61db4d5a_3462","d0dc75faf82af35216c4087e568ab6aa_2596","e27c64c29733013eb4c363b5c7ab13b8_2813"
"group_1903","","hypothetical protein","4","4","1","23","34","","","","158","158","158","LOCUS_38100","f76cef297a7dedb9150c88bc61db4d5a_4090","d0dc75faf82af35216c4087e568ab6aa_2897","e27c64c29733013eb4c363b5c7ab13b8_4198"
"fliF","","flagellar M-ring protein","4","4","1","2","135","","","","1658","1658","1658","LOCUS_41790","f76cef297a7dedb9150c88bc61db4d5a_86","d0dc75faf82af35216c4087e568ab6aa_3704","e27c64c29733013eb4c363b5c7ab13b8_3763"
"rfbC","","dTDP-4-dehydrorhamnose 3,5-epimerase","4","4","1","9","5","","","","548","548","548","LOCUS_21380","f76cef297a7dedb9150c88bc61db4d5a_1574","d0dc75faf82af35216c4087e568ab6aa_3367","e27c64c29733013eb4c363b5c7ab13b8_2755"
"napG","","ferredoxin-type protein NapG","4","4","1","10","93","","","","695","695","695","LOCUS_12670","f76cef297a7dedb9150c88bc61db4d5a_4155","d0dc75faf82af35216c4087e568ab6aa_3418","e27c64c29733013eb4c363b5c7ab13b8_2947"
"group_1907","","N-acetylmuramoyl-L-alanine amidase","4","4","1","8","212","","","","869","869","869","LOCUS_08990","f76cef297a7dedb9150c88bc61db4d5a_3086","d0dc75faf82af35216c4087e568ab6aa_1551","e27c64c29733013eb4c363b5c7ab13b8_1870"
"pyrF","","orotidine 5'-phosphate decarboxylase","4","4","1","1","433","","","","737","737","737","LOCUS_36650","f76cef297a7dedb9150c88bc61db4d5a_3138","d0dc75faf82af35216c4087e568ab6aa_431","e27c64c29733013eb4c363b5c7ab13b8_1208"
"group_1909","","alpha-1,4 glucan phosphorylase","4","4","1","15","16","","","","2447","2447","2447","LOCUS_36840","f76cef297a7dedb9150c88bc61db4d5a_2784","d0dc75faf82af35216c4087e568ab6aa_4093","e27c64c29733013eb4c363b5c7ab13b8_4561"
"symE","","endoribonuclease SymE","4","4","1","4","55","","","","341","341","341","LOCUS_33620","f76cef297a7dedb9150c88bc61db4d5a_1378","d0dc75faf82af35216c4087e568ab6aa_3605","e27c64c29733013eb4c363b5c7ab13b8_1066"
"repFIB","","repFIB replication protein A","4","4","1","40","9","","","","977","977","977","LOCUS_46560","f76cef297a7dedb9150c88bc61db4d5a_4848","d0dc75faf82af35216c4087e568ab6aa_4794","e27c64c29733013eb4c363b5c7ab13b8_4927"
"yojI","","multidrug ABC transporter ATP-binding protein","4","4","1","10","98","","","","1643","1643","1643","LOCUS_12620","f76cef297a7dedb9150c88bc61db4d5a_2168","d0dc75faf82af35216c4087e568ab6aa_2870","e27c64c29733013eb4c363b5c7ab13b8_2952"
"pgi","","glucose-6-phosphate isomerase","4","4","1","6","227","","","","1649","1649","1649","LOCUS_39780","f76cef297a7dedb9150c88bc61db4d5a_1715","d0dc75faf82af35216c4087e568ab6aa_3772","e27c64c29733013eb4c363b5c7ab13b8_916"
"csiE","","stationary phase inducible protein CsiE","4","4","1","16","52","","","","1280","1280","1280","LOCUS_13190","f76cef297a7dedb9150c88bc61db4d5a_3225","d0dc75faf82af35216c4087e568ab6aa_1940","e27c64c29733013eb4c363b5c7ab13b8_2209"
"group_1915","","phosphotriesterase-related protein","4","4","1","2","73","","","","1034","1034","1034","LOCUS_35330","f76cef297a7dedb9150c88bc61db4d5a_18","d0dc75faf82af35216c4087e568ab6aa_4059","e27c64c29733013eb4c363b5c7ab13b8_3168"
"group_1916","","hypothetical protein","4","4","1","1","320","","","","176","176","176","LOCUS_25660","f76cef297a7dedb9150c88bc61db4d5a_3702","d0dc75faf82af35216c4087e568ab6aa_2225","e27c64c29733013eb4c363b5c7ab13b8_1095"
"group_1917","","colicin V","4","4","1","18","14","","","","311","311","311","LOCUS_21410","f76cef297a7dedb9150c88bc61db4d5a_3649","d0dc75faf82af35216c4087e568ab6aa_4835","e27c64c29733013eb4c363b5c7ab13b8_4755"
"btuC","","vitamin B12 import system permease protein BtuC","4","4","1","2","343","","","","980","980","980","LOCUS_01690","f76cef297a7dedb9150c88bc61db4d5a_298","d0dc75faf82af35216c4087e568ab6aa_104","e27c64c29733013eb4c363b5c7ab13b8_605"
"aroD","","3-dehydroquinate dehydratase","4","4","1","2","361","","","","758","758","758","LOCUS_01510","f76cef297a7dedb9150c88bc61db4d5a_316","d0dc75faf82af35216c4087e568ab6aa_122","e27c64c29733013eb4c363b5c7ab13b8_587"
"codB","","cytosine permease","4","4","1","25","14","","","","1259","1259","1259","LOCUS_28130","f76cef297a7dedb9150c88bc61db4d5a_3773","d0dc75faf82af35216c4087e568ab6aa_2371","e27c64c29733013eb4c363b5c7ab13b8_3715"
"group_1921","","methyltransferase","4","4","1","7","200","","","","884","884","884","LOCUS_31530","f76cef297a7dedb9150c88bc61db4d5a_757","d0dc75faf82af35216c4087e568ab6aa_2466","e27c64c29733013eb4c363b5c7ab13b8_1524"
"ycgL","","protein YcgL","4","4","1","1","690","","","","293","293","293","LOCUS_35920","f76cef297a7dedb9150c88bc61db4d5a_2576","d0dc75faf82af35216c4087e568ab6aa_356","e27c64c29733013eb4c363b5c7ab13b8_3442"
"kdpC","","potassium-transporting ATPase KdpC subunit","4","4","1","1","192","","","","572","572","572","LOCUS_37350","f76cef297a7dedb9150c88bc61db4d5a_4126","d0dc75faf82af35216c4087e568ab6aa_1043","e27c64c29733013eb4c363b5c7ab13b8_4256"
"rpoC","","DNA-directed RNA polymerase subunit beta'","4","4","1","29","12","","","","4223","4223","4223","LOCUS_35560","f76cef297a7dedb9150c88bc61db4d5a_4201","d0dc75faf82af35216c4087e568ab6aa_3040","e27c64c29733013eb4c363b5c7ab13b8_4277"
"group_1925","","DNA transfer protein","4","4","1","8","77","","","","1451","1451","1451","LOCUS_32830","f76cef297a7dedb9150c88bc61db4d5a_4047","d0dc75faf82af35216c4087e568ab6aa_2953","e27c64c29733013eb4c363b5c7ab13b8_4111"
"pphA","","serine/threonine-protein phosphatase","4","4","1","2","226","","","","656","656","656","LOCUS_19950","f76cef297a7dedb9150c88bc61db4d5a_180","d0dc75faf82af35216c4087e568ab6aa_2718","e27c64c29733013eb4c363b5c7ab13b8_722"
"group_1927","","hypothetical protein","4","4","1","5","1","","","","911","911","911","LOCUS_44580","f76cef297a7dedb9150c88bc61db4d5a_4671","d0dc75faf82af35216c4087e568ab6aa_4533","e27c64c29733013eb4c363b5c7ab13b8_333"
"ppsR","","phosphoenolpyruvate synthase regulatory protein","4","4","1","2","351","","","","752","752","752","LOCUS_01610","f76cef297a7dedb9150c88bc61db4d5a_306","d0dc75faf82af35216c4087e568ab6aa_112","e27c64c29733013eb4c363b5c7ab13b8_597"
"group_1929","","type II secretion system protein GspL","4","4","1","34","11","","","","1163","1163","1163","LOCUS_45160","f76cef297a7dedb9150c88bc61db4d5a_4702","d0dc75faf82af35216c4087e568ab6aa_4431","e27c64c29733013eb4c363b5c7ab13b8_4673"
"group_1930","","head decoration protein","4","4","1","30","33","","","","347","347","347","LOCUS_43630","f76cef297a7dedb9150c88bc61db4d5a_4556","d0dc75faf82af35216c4087e568ab6aa_4911","e27c64c29733013eb4c363b5c7ab13b8_4778"
"cyaA","","adenylate cyclase","4","4","1","22","50","","","","2546","2546","2546","LOCUS_25090","f76cef297a7dedb9150c88bc61db4d5a_4517","d0dc75faf82af35216c4087e568ab6aa_4031","e27c64c29733013eb4c363b5c7ab13b8_3537"
"rimI","","ribosomal-protein-alanine acetyltransferase","4","4","1","4","82","","","","446","446","446","LOCUS_27680","f76cef297a7dedb9150c88bc61db4d5a_1348","d0dc75faf82af35216c4087e568ab6aa_2014","e27c64c29733013eb4c363b5c7ab13b8_1036"
"lpxH","","UDP-2,3-diacylglucosamine hydrolase","4","4","1","1","631","","","","722","722","722","LOCUS_09590","f76cef297a7dedb9150c88bc61db4d5a_1896","d0dc75faf82af35216c4087e568ab6aa_3741","e27c64c29733013eb4c363b5c7ab13b8_1253"
"group_1934","","glycosyl hydrolase","4","4","1","1","213","","","","1169","1169","1169","LOCUS_22540","f76cef297a7dedb9150c88bc61db4d5a_2534","d0dc75faf82af35216c4087e568ab6aa_1064","e27c64c29733013eb4c363b5c7ab13b8_1947"
"group_1935","","deoxyribodipyrimidine photo-lyase","4","4","1","1","187","","","","1418","1418","1418","LOCUS_37400","f76cef297a7dedb9150c88bc61db4d5a_4131","d0dc75faf82af35216c4087e568ab6aa_1038","e27c64c29733013eb4c363b5c7ab13b8_4251"
"group_1936","","chitoporin","4","4","1","1","204","","","","1406","1406","1406","LOCUS_22630","f76cef297a7dedb9150c88bc61db4d5a_2543","d0dc75faf82af35216c4087e568ab6aa_1055","e27c64c29733013eb4c363b5c7ab13b8_1938"
"group_1937","","hypothetical protein","4","4","1","17","22","","","","1154","1154","1154","LOCUS_41200","f76cef297a7dedb9150c88bc61db4d5a_4358","d0dc75faf82af35216c4087e568ab6aa_3413","e27c64c29733013eb4c363b5c7ab13b8_4404"
"exuR","","GntR family transcriptional regulator","4","4","1","7","55","","","","776","776","776","LOCUS_04750","f76cef297a7dedb9150c88bc61db4d5a_913","d0dc75faf82af35216c4087e568ab6aa_1619","e27c64c29733013eb4c363b5c7ab13b8_3014"
"group_1939","","hypothetical protein","4","4","1","5","186","","","","386","386","386","LOCUS_14150","f76cef297a7dedb9150c88bc61db4d5a_1145","d0dc75faf82af35216c4087e568ab6aa_898","e27c64c29733013eb4c363b5c7ab13b8_392"
"yjiE","","HTH-type transcriptional regulator YjiE","4","4","1","4","42","","","","911","911","911","LOCUS_33490","f76cef297a7dedb9150c88bc61db4d5a_1391","d0dc75faf82af35216c4087e568ab6aa_3618","e27c64c29733013eb4c363b5c7ab13b8_1079"
"group_1941","","hypothetical protein","4","4","1","2","21","","","","818","818","818","LOCUS_46410","f76cef297a7dedb9150c88bc61db4d5a_4881","d0dc75faf82af35216c4087e568ab6aa_4229","e27c64c29733013eb4c363b5c7ab13b8_4847"
"group_1942","","GTPase","4","4","1","2","42","","","","884","884","884","LOCUS_46780","f76cef297a7dedb9150c88bc61db4d5a_4925","d0dc75faf82af35216c4087e568ab6aa_4452","e27c64c29733013eb4c363b5c7ab13b8_4918"
"group_1943","","UDP-glucose 6-dehydrogenase","4","4","1","6","65","","","","1166","1166","1166","LOCUS_41240","f76cef297a7dedb9150c88bc61db4d5a_4354","d0dc75faf82af35216c4087e568ab6aa_3697","e27c64c29733013eb4c363b5c7ab13b8_3908"
"ybiT","","putative ABC transporter ATP-binding protein YbiT","4","4","1","5","98","","","","1592","1592","1592","LOCUS_06550","f76cef297a7dedb9150c88bc61db4d5a_1056","d0dc75faf82af35216c4087e568ab6aa_660","e27c64c29733013eb4c363b5c7ab13b8_481"
"group_1945","","fumarate reductase flavoprotein subunit","4","4","1","11","45","","","","1808","1808","1808","LOCUS_34910","f76cef297a7dedb9150c88bc61db4d5a_2419","d0dc75faf82af35216c4087e568ab6aa_2076","e27c64c29733013eb4c363b5c7ab13b8_3303"
"group_1946","","hypothetical protein","4","4","1","14","7","","","","2060","2060","2060","LOCUS_26230","f76cef297a7dedb9150c88bc61db4d5a_3284","d0dc75faf82af35216c4087e568ab6aa_147","e27c64c29733013eb4c363b5c7ab13b8_2059"
"group_1947","","structural protein","4","4","1","4","75","","","","833","833","833","LOCUS_27610","f76cef297a7dedb9150c88bc61db4d5a_1358","d0dc75faf82af35216c4087e568ab6aa_4230","e27c64c29733013eb4c363b5c7ab13b8_1046"
"trxC","","thioredoxin-2","4","4","1","16","11","","","","419","419","419","LOCUS_13600","f76cef297a7dedb9150c88bc61db4d5a_3266","d0dc75faf82af35216c4087e568ab6aa_3330","e27c64c29733013eb4c363b5c7ab13b8_2250"
"insE4","","transposase InsE for insertion sequence IS3D","4","4","1","43","3","","","","299","299","299","LOCUS_47980","f76cef297a7dedb9150c88bc61db4d5a_4978","d0dc75faf82af35216c4087e568ab6aa_4843","e27c64c29733013eb4c363b5c7ab13b8_4902"
"ybiX","","PKHD-type hydroxylase YbiX","4","4","1","5","82","","","","677","677","677","LOCUS_06710","f76cef297a7dedb9150c88bc61db4d5a_1041","d0dc75faf82af35216c4087e568ab6aa_676","e27c64c29733013eb4c363b5c7ab13b8_496"
"group_1951","","portal protein","4","4","1","8","68","","","","2198","2198","2198","LOCUS_32740","f76cef297a7dedb9150c88bc61db4d5a_4038","d0dc75faf82af35216c4087e568ab6aa_2944","e27c64c29733013eb4c363b5c7ab13b8_4102"
"group_1952","","transcriptional regulator","4","4","1","2","139","","","","797","797","797","LOCUS_41750","f76cef297a7dedb9150c88bc61db4d5a_90","d0dc75faf82af35216c4087e568ab6aa_3700","e27c64c29733013eb4c363b5c7ab13b8_3759"
"talB","","transaldolase","4","4","1","4","121","","","","953","953","953","LOCUS_43930","f76cef297a7dedb9150c88bc61db4d5a_1309","d0dc75faf82af35216c4087e568ab6aa_1975","e27c64c29733013eb4c363b5c7ab13b8_997"
"group_1954","","hypothetical protein","4","4","1","27","4","","","","191","191","191","LOCUS_37300","f76cef297a7dedb9150c88bc61db4d5a_4380","d0dc75faf82af35216c4087e568ab6aa_4163","e27c64c29733013eb4c363b5c7ab13b8_4123"
"rpsR","","30S ribosomal protein S18","4","4","1","11","90","","","","227","227","227","LOCUS_47150","f76cef297a7dedb9150c88bc61db4d5a_2371","d0dc75faf82af35216c4087e568ab6aa_2028","e27c64c29733013eb4c363b5c7ab13b8_3351"
"group_1956","","integrase","4","4","1","1","773","","","","1130","1130","1130","LOCUS_16490","f76cef297a7dedb9150c88bc61db4d5a_2661","d0dc75faf82af35216c4087e568ab6aa_271","e27c64c29733013eb4c363b5c7ab13b8_3930"
"group_1957","","carbamate kinase","4","4","1","25","29","","","","950","950","950","LOCUS_28280","f76cef297a7dedb9150c88bc61db4d5a_3757","d0dc75faf82af35216c4087e568ab6aa_2355","e27c64c29733013eb4c363b5c7ab13b8_3699"
"blc","","hypothetical protein","4","4","1","11","40","","","","533","533","533","LOCUS_34860","f76cef297a7dedb9150c88bc61db4d5a_2424","d0dc75faf82af35216c4087e568ab6aa_2081","e27c64c29733013eb4c363b5c7ab13b8_3298"
"group_1959","","LysR family transcriptional regulator","4","4","1","50","2","","","Investigate","125","125","125","LOCUS_48410","f76cef297a7dedb9150c88bc61db4d5a_4993","d0dc75faf82af35216c4087e568ab6aa_4907","e27c64c29733013eb4c363b5c7ab13b8_4971"
"group_1960","","NAD(P)-dependent oxidoreductase","4","4","1","20","60","","","","884","884","884","LOCUS_31760","f76cef297a7dedb9150c88bc61db4d5a_3480","d0dc75faf82af35216c4087e568ab6aa_2614","e27c64c29733013eb4c363b5c7ab13b8_2795"
"ydiJ","","membrane protein","4","4","1","2","367","","","","3056","3056","3056","LOCUS_01450","f76cef297a7dedb9150c88bc61db4d5a_322","d0dc75faf82af35216c4087e568ab6aa_128","e27c64c29733013eb4c363b5c7ab13b8_581"
"ribB","","3,4-dihydroxy-2-butanone 4-phosphate synthase","4","4","1","7","11","","","","653","653","653","LOCUS_04310","f76cef297a7dedb9150c88bc61db4d5a_958","d0dc75faf82af35216c4087e568ab6aa_1574","e27c64c29733013eb4c363b5c7ab13b8_3059"
"citC","","[Citrate [pro-3S]-lyase] ligase","4","4","1","1","259","","","","1058","1058","1058","LOCUS_17360","f76cef297a7dedb9150c88bc61db4d5a_2481","d0dc75faf82af35216c4087e568ab6aa_1853","e27c64c29733013eb4c363b5c7ab13b8_2000"
"leuB","","3-isopropylmalate dehydrogenase","4","4","1","4","184","","","","1091","1091","1091","LOCUS_28770","f76cef297a7dedb9150c88bc61db4d5a_1241","d0dc75faf82af35216c4087e568ab6aa_4406","e27c64c29733013eb4c363b5c7ab13b8_4722"
"rplA","","50S ribosomal protein L1","4","4","1","29","8","","","","704","704","704","LOCUS_35520","f76cef297a7dedb9150c88bc61db4d5a_4205","d0dc75faf82af35216c4087e568ab6aa_3036","e27c64c29733013eb4c363b5c7ab13b8_4281"
"pgl","","6-phosphogluconolactonase","4","4","1","5","44","","","","995","995","995","LOCUS_07090","f76cef297a7dedb9150c88bc61db4d5a_1003","d0dc75faf82af35216c4087e568ab6aa_714","e27c64c29733013eb4c363b5c7ab13b8_534"
"prfA","","peptide chain release factor 1","4","4","1","1","728","","","","1082","1082","1082","LOCUS_16060","f76cef297a7dedb9150c88bc61db4d5a_2614","d0dc75faf82af35216c4087e568ab6aa_318","e27c64c29733013eb4c363b5c7ab13b8_3480"
"repA2","","replication regulatory protein repA2","4","4","1","18","74","","","","260","260","260","LOCUS_21580","f76cef297a7dedb9150c88bc61db4d5a_3665","d0dc75faf82af35216c4087e568ab6aa_3093","e27c64c29733013eb4c363b5c7ab13b8_3683"
"ahpC","","alkyl hydroperoxide reductase subunit C","4","4","1","1","270","","","","563","563","563","LOCUS_17470","f76cef297a7dedb9150c88bc61db4d5a_2470","d0dc75faf82af35216c4087e568ab6aa_1842","e27c64c29733013eb4c363b5c7ab13b8_2011"
"group_1970","","type II secretion system protein GspJ","4","4","1","33","17","","","","605","605","605","LOCUS_45320","f76cef297a7dedb9150c88bc61db4d5a_4666","d0dc75faf82af35216c4087e568ab6aa_4301","e27c64c29733013eb4c363b5c7ab13b8_4590"
"thiP","","thiamine/thiamine pyrophosphate ABC transporter permease ThiP","4","4","1","4","190","","","","1610","1610","1610","LOCUS_28830","f76cef297a7dedb9150c88bc61db4d5a_1247","d0dc75faf82af35216c4087e568ab6aa_4400","e27c64c29733013eb4c363b5c7ab13b8_4716"
"zapB","","cell division protein ZapB","4","4","1","13","68","","","","239","239","239","LOCUS_15110","f76cef297a7dedb9150c88bc61db4d5a_3367","d0dc75faf82af35216c4087e568ab6aa_1252","e27c64c29733013eb4c363b5c7ab13b8_3083"
"group_1973","","formate hydrogenlyase subunit 2","4","4","1","3","268","","","","611","611","611","LOCUS_07610","f76cef297a7dedb9150c88bc61db4d5a_636","d0dc75faf82af35216c4087e568ab6aa_1470","e27c64c29733013eb4c363b5c7ab13b8_270"
"ybaY","","lipoprotein","4","4","1","1","559","","","","572","572","572","LOCUS_10310","f76cef297a7dedb9150c88bc61db4d5a_1824","d0dc75faf82af35216c4087e568ab6aa_1414","e27c64c29733013eb4c363b5c7ab13b8_1325"
"group_1975","","peptide ABC transporter permease","4","4","1","6","156","","","","1049","1049","1049","LOCUS_42390","f76cef297a7dedb9150c88bc61db4d5a_1644","d0dc75faf82af35216c4087e568ab6aa_1300","e27c64c29733013eb4c363b5c7ab13b8_845"
"pstC","","phosphate transport system permease protein","4","4","1","12","30","","","","959","959","959","LOCUS_11130","f76cef297a7dedb9150c88bc61db4d5a_2197","d0dc75faf82af35216c4087e568ab6aa_4788","e27c64c29733013eb4c363b5c7ab13b8_1638"
"group_1977","","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","4","4","1","18","85","","","","452","452","452","LOCUS_21470","f76cef297a7dedb9150c88bc61db4d5a_3655","d0dc75faf82af35216c4087e568ab6aa_4691","e27c64c29733013eb4c363b5c7ab13b8_4761"
"rpsG","","30S ribosomal protein S7","4","4","1","15","22","","","","470","470","470","LOCUS_38480","f76cef297a7dedb9150c88bc61db4d5a_2695","d0dc75faf82af35216c4087e568ab6aa_3670","e27c64c29733013eb4c363b5c7ab13b8_2673"
"group_1979","","galactonate oxidoreductase","4","4","1","20","73","","","","1016","1016","1016","LOCUS_31890","f76cef297a7dedb9150c88bc61db4d5a_3467","d0dc75faf82af35216c4087e568ab6aa_2601","e27c64c29733013eb4c363b5c7ab13b8_2808"
"group_1980","","hydrolase","4","4","1","15","55","","","","878","878","878","LOCUS_26990","f76cef297a7dedb9150c88bc61db4d5a_2728","d0dc75faf82af35216c4087e568ab6aa_1735","e27c64c29733013eb4c363b5c7ab13b8_2640"
"yfjD","","UPF0053 inner membrane protein YfjD","4","4","1","3","383","","","","1199","1199","1199","LOCUS_23340","f76cef297a7dedb9150c88bc61db4d5a_493","d0dc75faf82af35216c4087e568ab6aa_2270","e27c64c29733013eb4c363b5c7ab13b8_3606"
"avtA","","valine--pyruvate transaminase","4","4","1","14","60","","","","1253","1253","1253","LOCUS_18360","f76cef297a7dedb9150c88bc61db4d5a_3336","d0dc75faf82af35216c4087e568ab6aa_198","e27c64c29733013eb4c363b5c7ab13b8_2111"
"rho","","transcription termination factor Rho","4","4","1","22","17","","","","1259","1259","1259","LOCUS_24890","f76cef297a7dedb9150c88bc61db4d5a_3951","d0dc75faf82af35216c4087e568ab6aa_2684","e27c64c29733013eb4c363b5c7ab13b8_3513"
"group_1984","","diguanylate cyclase","4","4","1","17","21","","","","218","218","218","LOCUS_41190","f76cef297a7dedb9150c88bc61db4d5a_4359","d0dc75faf82af35216c4087e568ab6aa_3412","e27c64c29733013eb4c363b5c7ab13b8_4403"
"rseC","","protein RseC","4","4","1","16","23","","","","479","479","479","LOCUS_13480","f76cef297a7dedb9150c88bc61db4d5a_3254","d0dc75faf82af35216c4087e568ab6aa_3318","e27c64c29733013eb4c363b5c7ab13b8_2238"
"hslV","","ATP-dependent protease subunit HslV","4","4","1","13","112","","","","530","530","530","LOCUS_15150","f76cef297a7dedb9150c88bc61db4d5a_3363","d0dc75faf82af35216c4087e568ab6aa_1256","e27c64c29733013eb4c363b5c7ab13b8_3079"
"nrdI","","protein NrdI","4","4","1","3","316","","","","410","410","410","LOCUS_30260","f76cef297a7dedb9150c88bc61db4d5a_583","d0dc75faf82af35216c4087e568ab6aa_4558","e27c64c29733013eb4c363b5c7ab13b8_323"
"group_1988","","glutathione S-transferase","4","4","1","2","415","","","","605","605","605","LOCUS_00970","f76cef297a7dedb9150c88bc61db4d5a_372","d0dc75faf82af35216c4087e568ab6aa_981","e27c64c29733013eb4c363b5c7ab13b8_1763"
"ybjL","","putative transport protein YbjL","4","4","1","5","169","","","","1685","1685","1685","LOCUS_14320","f76cef297a7dedb9150c88bc61db4d5a_1128","d0dc75faf82af35216c4087e568ab6aa_915","e27c64c29733013eb4c363b5c7ab13b8_409"
"rluE","","ribosomal large subunit pseudouridine synthase E","4","4","1","1","860","","","","533","533","533","LOCUS_02440","f76cef297a7dedb9150c88bc61db4d5a_2891","d0dc75faf82af35216c4087e568ab6aa_3156","e27c64c29733013eb4c363b5c7ab13b8_2354"
"mtnB","","L-fuculose phosphate aldolase","4","4","1","4","5","","","","641","641","641","LOCUS_40490","f76cef297a7dedb9150c88bc61db4d5a_3856","d0dc75faf82af35216c4087e568ab6aa_3575","e27c64c29733013eb4c363b5c7ab13b8_4289"
"uidR","","TetR family transcriptional regulator","4","4","1","2","433","","","","590","590","590","LOCUS_00790","f76cef297a7dedb9150c88bc61db4d5a_390","d0dc75faf82af35216c4087e568ab6aa_963","e27c64c29733013eb4c363b5c7ab13b8_1745"
"galF","","UTP--glucose-1-phosphate uridylyltransferase","4","4","1","9","9","","","","893","893","893","LOCUS_21340","f76cef297a7dedb9150c88bc61db4d5a_1570","d0dc75faf82af35216c4087e568ab6aa_3363","e27c64c29733013eb4c363b5c7ab13b8_2751"
"group_1994","","hypothetical protein","4","4","1","12","73","","","","1064","1064","1064","LOCUS_10700","f76cef297a7dedb9150c88bc61db4d5a_2240","d0dc75faf82af35216c4087e568ab6aa_1781","e27c64c29733013eb4c363b5c7ab13b8_1595"
"yhiI","","membrane protein","4","4","1","17","58","","","","1067","1067","1067","LOCUS_16960","f76cef297a7dedb9150c88bc61db4d5a_3541","d0dc75faf82af35216c4087e568ab6aa_3131","e27c64c29733013eb4c363b5c7ab13b8_3822"
"psiE","","protein PsiE","4","4","1","6","222","","","","410","410","410","LOCUS_15870","f76cef297a7dedb9150c88bc61db4d5a_1710","d0dc75faf82af35216c4087e568ab6aa_3268","e27c64c29733013eb4c363b5c7ab13b8_911"
"group_1997","","hypothetical protein","4","4","1","6","33","","","","788","788","788","LOCUS_34100","f76cef297a7dedb9150c88bc61db4d5a_3979","d0dc75faf82af35216c4087e568ab6aa_2751","e27c64c29733013eb4c363b5c7ab13b8_4513"
"group_1998","","hypothetical protein","4","4","1","8","30","","","","296","296","296","LOCUS_42660","f76cef297a7dedb9150c88bc61db4d5a_4412","d0dc75faf82af35216c4087e568ab6aa_3867","e27c64c29733013eb4c363b5c7ab13b8_4050"
"group_1999","","hypothetical protein","4","4","1","9","75","","","","425","425","425","LOCUS_38960","f76cef297a7dedb9150c88bc61db4d5a_1504","d0dc75faf82af35216c4087e568ab6aa_3490","e27c64c29733013eb4c363b5c7ab13b8_2685"
"cbpA","","curved DNA-binding protein","4","4","1","1","72","","","","893","920","899","LOCUS_03700","f76cef297a7dedb9150c88bc61db4d5a_2944","d0dc75faf82af35216c4087e568ab6aa_1164","e27c64c29733013eb4c363b5c7ab13b8_2512"
"group_2000","","hypothetical protein","4","4","1","4","138","","","","1466","1466","1466","LOCUS_44330","f76cef297a7dedb9150c88bc61db4d5a_1195","d0dc75faf82af35216c4087e568ab6aa_4332","e27c64c29733013eb4c363b5c7ab13b8_4681"
